molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL23532,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,1000.0,nM,IC50,6.00,Toxoplasma gondii,organism-based format
CHEMBL80070,COc1cccc(NCc2cnc3nc(N)nc(N)c3c2C)c1,371.0,nM,IC50,6.43,Toxoplasma gondii,organism-based format
CHEMBL81119,Cc1c(CNc2ccccc2Cl)cnc2nc(N)nc(N)c12,58.0,nM,IC50,7.24,Toxoplasma gondii,organism-based format
CHEMBL79123,Cc1c(CNc2ccccc2)cnc2nc(N)nc(N)c12,317.0,nM,IC50,6.50,Toxoplasma gondii,organism-based format
CHEMBL417932,Nc1ccc(CC(O)(P(=O)(O)O)P(=O)(O)O)cc1,68200.0,nM,IC50,4.17,Toxoplasma gondii,organism-based format
CHEMBL434024,O=P(O)(O)C(O)(Cc1ccccn1)P(=O)(O)O,9100.0,nM,IC50,5.04,Toxoplasma gondii,organism-based format
CHEMBL52761,CCCC(O)(P(=O)(O)O)P(=O)(O)O,9100.0,nM,IC50,5.04,Toxoplasma gondii,organism-based format
CHEMBL923,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,490.0,nM,IC50,6.31,Toxoplasma gondii,organism-based format
CHEMBL55886,O=P(O)(O)C(O)(Cc1ccncc1)P(=O)(O)O,200000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL293522,O=P(O)(O)C(O)(CCc1cccnc1)P(=O)(O)O,200000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL834,NCCC(O)(P(=O)(O)O)P(=O)(O)O,35600.0,nM,IC50,4.45,Toxoplasma gondii,organism-based format
CHEMBL298771,NCCCCC(O)(P(=O)(O)O)P(=O)(O)O,200000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL870,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,147000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL115788,COc1cc(N(C=O)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL195506,CC/N=C(/S)N/N=C/c1ccccc1[N+](=O)[O-],500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL445654,CC/N=C(/S)N/N=C/c1cccc([N+](=O)[O-])c1,80000.0,nM,IC50,4.10,Toxoplasma gondii,organism-based format
CHEMBL365175,CC/N=C(/S)N/N=C/c1ccc([N+](=O)[O-])cc1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL193649,O=[N+]([O-])c1ccccc1/C=N/N=C(\S)Nc1ccccc1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL194029,O=[N+]([O-])c1cccc(/C=N/N=C(\S)Nc2ccccc2)c1,80000.0,nM,IC50,4.10,Toxoplasma gondii,organism-based format
CHEMBL194091,O=C(O)CC1SC(N/N=C/c2cccc([N+](=O)[O-])c2)=NC1=O,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL370876,O=C(O)CC1SC(N/N=C/c2ccc([N+](=O)[O-])cc2)=NC1=O,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL194123,CN1C(=O)C(CC(=O)O)S/C1=N\N=C\c1ccccc1[N+](=O)[O-],500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
CHEMBL370691,CCN1C(=O)C(CC(=O)O)S/C1=N\N=C\c1ccc([N+](=O)[O-])cc1,500000.0,nM,IC50,,Toxoplasma gondii,organism-based format
