molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL350785,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCOc1ccccc1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL165114,CCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,3250.0,nM,IC50,5.49,Leishmania infantum,organism-based format
CHEMBL166020,C[N+]1(CCOP(=O)([O-])OCCCCCCOc2ccccc2)CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL164859,CCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCCCC2)CC1,23070.0,nM,IC50,4.64,Leishmania infantum,organism-based format
CHEMBL164863,C[N+](C)(C)CCOP(=O)([O-])OCCOC1CCCCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL165555,CCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCOCC2)CC1,16460.0,nM,IC50,4.78,Leishmania infantum,organism-based format
CHEMBL451548,C[N+](C)(C)CCOP(=O)([O-])OCC12CC3CC(CC(C3)C1)C2,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL435661,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1C2CC3CC(C2)CC1C3,100000.0,nM,IC50,,Leishmania infantum,organism-based format
CHEMBL166198,CCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCOCC2)CC1,15500.0,nM,IC50,4.81,Leishmania infantum,organism-based format
CHEMBL164709,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC1CCCCC1,8400.0,nM,IC50,5.08,Leishmania infantum,organism-based format
CHEMBL125,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,22560.0,nM,IC50,4.65,Leishmania infantum,organism-based format
