molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label
CHEMBL2261597,Cc1ncc([N+](=O)[O-])n1CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,17210.0,nM,IC50,4.76,Giardia intestinalis,organism-based format
CHEMBL2261596,Cc1ncc([N+](=O)[O-])n1CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,18000.0,nM,IC50,4.75,Giardia intestinalis,organism-based format
CHEMBL2261595,Cc1ncc([N+](=O)[O-])n1CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,22220.0,nM,IC50,4.65,Giardia intestinalis,organism-based format
CHEMBL2261594,CCOC(=O)C(CCCCNC(=O)C(C)n1c([N+](=O)[O-])cnc1C)NC(=O)Cn1cc([N+](=O)[O-])nc1C,3840.0,nM,IC50,5.42,Giardia intestinalis,organism-based format
CHEMBL2261593,COC(=O)[C@@H]1CCCN1C(=O)Cn1c([N+](=O)[O-])cnc1C,2700.0,nM,IC50,5.57,Giardia intestinalis,organism-based format
CHEMBL2261592,COC(=O)[C@H](CCCCN)NC(=O)Cn1c([N+](=O)[O-])cnc1C,8930.0,nM,IC50,5.05,Giardia intestinalis,organism-based format
CHEMBL2261591,COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)Cn1c([N+](=O)[O-])cnc1C,16570.0,nM,IC50,4.78,Giardia intestinalis,organism-based format
CHEMBL2261590,COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)Cn1c([N+](=O)[O-])cnc1C,17790.0,nM,IC50,4.75,Giardia intestinalis,organism-based format
CHEMBL2261589,COC(=O)[C@H](CC(=O)O)NC(=O)Cn1c([N+](=O)[O-])cnc1C,2260.0,nM,IC50,5.65,Giardia intestinalis,organism-based format
CHEMBL2261861,COC(=O)[C@H](Cc1ccccc1)NC(=O)Cn1c([N+](=O)[O-])cnc1C,44430.0,nM,IC50,4.35,Giardia intestinalis,organism-based format
CHEMBL2261598,CCOC(=O)[C@H](C)NC(=O)Cn1c([N+](=O)[O-])cnc1C,2180.0,nM,IC50,5.66,Giardia intestinalis,organism-based format
CHEMBL2403424,CCOc1cc2nc(SCCn3ccnc3)n(C)c2cc1Cl,20.8,nM,IC50,7.68,Giardia intestinalis,organism-based format
CHEMBL2403423,CCOc1ccc2c(c1)nc(SCCn1ccnc1)n2C,8.3,nM,IC50,8.08,Giardia intestinalis,organism-based format
CHEMBL2403422,CCOc1cc2c(cc1Cl)nc(SCCn1ccnc1)n2C,35.6,nM,IC50,7.45,Giardia intestinalis,organism-based format
CHEMBL2403421,CCOc1ccc2nc(SCCn3ccnc3)n(C)c2c1,45.2,nM,IC50,7.34,Giardia intestinalis,organism-based format
CHEMBL2403420,CCOc1cc2nc(SCCn3ccnc3)[nH]c2cc1Cl,46.5,nM,IC50,7.33,Giardia intestinalis,organism-based format
CHEMBL2403419,CCOc1ccc2[nH]c(SCCn3ccnc3)nc2c1,56.6,nM,IC50,7.25,Giardia intestinalis,organism-based format
CHEMBL2403418,COC(=O)c1cc2nc(SCCn3ccnc3)n(C)c2cc1Cl,44.2,nM,IC50,7.36,Giardia intestinalis,organism-based format
CHEMBL2403417,COC(=O)c1ccc2c(c1)nc(SCCn1ccnc1)n2C,61.6,nM,IC50,7.21,Giardia intestinalis,organism-based format
CHEMBL2403416,COC(=O)c1cc2c(cc1Cl)nc(SCCn1ccnc1)n2C,55.6,nM,IC50,7.25,Giardia intestinalis,organism-based format
