molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL4940671,C[n+]1ccccc1/C=C/c1c[nH]c2ccccc12,407.4,nM,IC50,6.39,Schistosoma mansoni,organism-based format,True
CHEMBL4932008,CC(C)[C@@H]1CC[C@H](C)C[C@H]1OC(=O)Cn1cc(-c2ccc(Cl)cc2)[n+]2c1CCC2,955.0,nM,IC50,6.02,Schistosoma mansoni,organism-based format,True
CHEMBL1616375,COc1ccc(-[n+]2c(-c3ccccc3)cn3c2CCC3)cc1,794.3,nM,IC50,6.10,Schistosoma mansoni,organism-based format,True
CHEMBL5007021,COc1ccc([C@@H]2C=C(c3ccc(Cl)cc3)N=C3NC(NC(=O)c4ccccc4OC)=NN32)cc1,759.0,nM,IC50,6.12,Schistosoma mansoni,organism-based format,True
CHEMBL4940479,COc1ccccc1C(=O)NC1=NN2C(=NC(c3ccc(Cl)cc3)=C[C@H]2c2ccc(Cl)cc2)N1,630.0,nM,IC50,6.20,Schistosoma mansoni,organism-based format,True
CHEMBL4911062,CC[N+](C)(CC)CCOc1cc(C)c2ccccc2n1,2240.0,nM,IC50,5.65,Schistosoma mansoni,organism-based format,True
CHEMBL5023243,CCCN1C(=O)c2ccccc2N2C(=O)CC[C@@]12C(=O)Nc1ccccc1,1100.0,nM,IC50,5.96,Schistosoma mansoni,organism-based format,True
CHEMBL5022370,CCCN1C(=O)c2ccccc2N2C(=O)CC[C@@]12C(=O)Nc1ccc(OC)cc1,1450.0,nM,IC50,5.84,Schistosoma mansoni,organism-based format,True
CHEMBL4916783,CC(=O)c1cccc(NC(=O)[C@@]23CCC(=O)N2c2ccccc2C(=O)N3C)c1,1910.0,nM,IC50,5.72,Schistosoma mansoni,organism-based format,True
CHEMBL4991465,CCN1C(=O)c2ccccc2N2C(=O)CC[C@@]12C(=O)Nc1cccc(OC)c1,1000.0,nM,IC50,6.00,Schistosoma mansoni,organism-based format,True
CHEMBL4992948,COc1c2c(cc3c1[C@@H](C#CCOc1ccccc1)[N+](C)(C)CC3)OCO2,1660.0,nM,IC50,5.78,Schistosoma mansoni,organism-based format,True
CHEMBL4947536,N#Cc1c(-c2ccccc2)cc(-c2ccccc2)nc1S(=O)(=O)Cc1ccccc1,3090.0,nM,IC50,5.51,Schistosoma mansoni,organism-based format,True
CHEMBL4992688,Oc1cc(OCc2ccccc2F)ccc1-c1[nH]ncc1-c1ccccc1,2190.0,nM,IC50,5.66,Schistosoma mansoni,organism-based format,True
CHEMBL4921765,C[C@H]1CCC[C@@H](NCCc2ccccc2)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1,758.6,nM,IC50,6.12,Schistosoma mansoni,organism-based format,True
CHEMBL5007157,CCC[N+]1(CC#C[C@@](O)(c2ccccc2)C(C)(CC)CC)CCCCC1,3390.0,nM,IC50,5.47,Schistosoma mansoni,organism-based format,True
CHEMBL4928340,CC1([C@@](O)(C#CC[N+]2(C)CCCCC2)c2ccccc2)CCCC1,2190.0,nM,IC50,5.66,Schistosoma mansoni,organism-based format,True
CHEMBL4969148,CCC[N+]1(CC#C[C@@](O)(c2ccccc2)C2(C)CCCC2)CCCCC1,3240.0,nM,IC50,5.49,Schistosoma mansoni,organism-based format,True
