molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL1213174,CCCC(=O)OCc1ccc2nc3ccc(OC)cc3c(N)c2c1,3000.0,nM,IC50,5.52,Leishmania infantum,organism-based format,True
CHEMBL1213175,CCN(CC)CCCNc1nc2ccc([N+](=O)[O-])cc2s1,4000.0,nM,IC50,5.40,Leishmania infantum,organism-based format,True
CHEMBL1213176,CCCNc1nc2ccc([N+](=O)[O-])cc2s1,1000.0,nM,IC50,6.00,Leishmania infantum,organism-based format,True
CHEMBL1213177,O=[N+]([O-])c1ccc2nc(Nc3ccccc3)sc2c1,36000.0,nM,IC50,4.44,Leishmania infantum,organism-based format,True
CHEMBL1213180,Nc1ccc2nc(Cl)sc2c1,54000.0,nM,IC50,4.27,Leishmania infantum,organism-based format,True
CHEMBL1213181,CN(C)c1ccc(Nc2nc3ccc(N)cc3s2)cc1,73000.0,nM,IC50,4.14,Leishmania infantum,organism-based format,True
CHEMBL1213182,Nc1ccc2nc(NCCO)sc2c1,3000.0,nM,IC50,5.52,Leishmania infantum,organism-based format,True
CHEMBL1213258,COc1cc(NS(C)(=O)=O)ccc1Nc1nc2ccc(N)cc2s1,10000.0,nM,IC50,5.00,Leishmania infantum,organism-based format,True
CHEMBL1212944,Nc1ccc2nc(Nc3cccc(O)c3)sc2c1,19000.0,nM,IC50,4.72,Leishmania infantum,organism-based format,True
CHEMBL1213263,CN(C)c1nc2ccc(N)cc2s1,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format,True
CHEMBL1213264,CCN(CC)c1nc2ccc(N)cc2s1,23000.0,nM,IC50,4.64,Leishmania infantum,organism-based format,True
CHEMBL1213311,Nc1ccc2nc(N3CCCCC3)sc2c1,10000.0,nM,IC50,5.00,Leishmania infantum,organism-based format,True
CHEMBL1213312,CCN(CC)CCCNc1nc2ccc(N)cc2s1,65000.0,nM,IC50,4.19,Leishmania infantum,organism-based format,True
CHEMBL1213313,CCCNc1nc2ccc(N)cc2s1,98000.0,nM,IC50,4.01,Leishmania infantum,organism-based format,True
CHEMBL1213314,Nc1ccc2nc(Nc3ccccc3)sc2c1,63000.0,nM,IC50,4.20,Leishmania infantum,organism-based format,True
CHEMBL1213317,O=C(O)c1ccccc1Nc1ccc2nc(Cl)sc2c1,5000.0,nM,IC50,5.30,Leishmania infantum,organism-based format,True
CHEMBL1213318,CN(C)c1ccc(Nc2nc3ccc(Nc4ccccc4C(=O)O)cc3s2)cc1,68000.0,nM,IC50,4.17,Leishmania infantum,organism-based format,True
CHEMBL1213319,O=C(O)c1ccccc1Nc1ccc2nc(NCCO)sc2c1,4000.0,nM,IC50,5.40,Leishmania infantum,organism-based format,True
CHEMBL1213355,COc1cc(NS(C)(=O)=O)ccc1Nc1nc2ccc(Nc3ccccc3C(=O)O)cc2s1,13000.0,nM,IC50,4.89,Leishmania infantum,organism-based format,True
CHEMBL1213361,CC(=O)Nc1nc2ccc(Nc3ccccc3C(=O)O)cc2s1,18000.0,nM,IC50,4.75,Leishmania infantum,organism-based format,True
CHEMBL1213363,Nc1nc2ccc(Nc3ccccc3C(=O)O)cc2s1,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format,True
CHEMBL1213364,CN(C)c1nc2ccc(Nc3ccccc3C(=O)O)cc2s1,80000.0,nM,IC50,4.10,Leishmania infantum,organism-based format,True
CHEMBL1213387,CCN(CC)c1nc2ccc(Nc3ccccc3C(=O)O)cc2s1,33000.0,nM,IC50,4.48,Leishmania infantum,organism-based format,True
CHEMBL1213388,O=C(O)c1ccccc1Nc1ccc2nc(N3CCCCC3)sc2c1,15000.0,nM,IC50,4.82,Leishmania infantum,organism-based format,True
CHEMBL1213389,CCN(CC)CCCNc1nc2ccc(Nc3ccccc3C(=O)O)cc2s1,2000.0,nM,IC50,5.70,Leishmania infantum,organism-based format,True
CHEMBL1213390,CCCNc1nc2ccc(Nc3ccccc3C(=O)O)cc2s1,39000.0,nM,IC50,4.41,Leishmania infantum,organism-based format,True
CHEMBL1213391,O=C(O)c1ccccc1Nc1ccc2nc(Nc3ccccc3)sc2c1,30000.0,nM,IC50,4.52,Leishmania infantum,organism-based format,True
CHEMBL1213873,COc1ccc2nc3ccc(C)cc3c(N)c2c1,1000.0,nM,IC50,6.00,Leishmania infantum,organism-based format,True
CHEMBL1213874,COc1ccc2nc3ccc(CBr)cc3c(N)c2c1,4000.0,nM,IC50,5.40,Leishmania infantum,organism-based format,True
CHEMBL1213943,COc1ccc2nc3ccc(C)cc3c(Cl)c2c1,10000.0,nM,IC50,5.00,Leishmania infantum,organism-based format,True
CHEMBL1213942,COc1ccc2nc3ccc(CBr)cc3c(Cl)c2c1,6000.0,nM,IC50,5.22,Leishmania infantum,organism-based format,True
CHEMBL416956,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,7000.0,nM,IC50,5.16,Leishmania infantum,organism-based format,True
CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1,54900.0,nM,IC50,4.26,Leishmania infantum,organism-based format,True
CHEMBL65,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,34400.0,nM,IC50,4.46,Leishmania infantum,organism-based format,True
CHEMBL1806807,c1ccc(C[Se][Se]Cc2ccccc2)cc1,630.0,nM,IC50,6.20,Leishmania infantum,organism-based format,True
CHEMBL1806797,O=[N+]([O-])c1ccc(C[Se][Se]Cc2ccc([N+](=O)[O-])cc2)cc1,380.0,nM,IC50,6.42,Leishmania infantum,organism-based format,True
CHEMBL1806794,CN(C)c1ccc([Se][Se]c2ccc(N(C)C)cc2)cc1,610.0,nM,IC50,6.21,Leishmania infantum,organism-based format,True
CHEMBL1806723,Nc1ccc([Se][Se]c2ccc(N)cc2)cc1,570.0,nM,IC50,6.24,Leishmania infantum,organism-based format,True
CHEMBL1806707,N#C[Se]c1ccc(N)cc1,9290.0,nM,IC50,5.03,Leishmania infantum,organism-based format,True
CHEMBL1806722,N#C[Se]Cc1ccc2ccccc2c1,3720.0,nM,IC50,5.43,Leishmania infantum,organism-based format,True
CHEMBL1806715,N#C[Se]Cc1ccc(C(F)(F)F)cc1,2140.0,nM,IC50,5.67,Leishmania infantum,organism-based format,True
CHEMBL1806714,N#C[Se]Cc1ccc(Br)cc1,7950.0,nM,IC50,5.10,Leishmania infantum,organism-based format,True
CHEMBL1806717,Cc1ccc(C[Se]C#N)cc1,3330.0,nM,IC50,5.48,Leishmania infantum,organism-based format,True
CHEMBL1806716,CSc1ccc(C[Se]C#N)cc1,3020.0,nM,IC50,5.52,Leishmania infantum,organism-based format,True
CHEMBL1806500,N#C[Se]CCc1ccc([N+](=O)[O-])cc1,3800.0,nM,IC50,5.42,Leishmania infantum,organism-based format,True
CHEMBL1806721,N#C[Se]Cc1ccccc1,2580.0,nM,IC50,5.59,Leishmania infantum,organism-based format,True
CHEMBL1806718,N#C[Se]Cc1ccc(C#N)cc1,550.0,nM,IC50,6.26,Leishmania infantum,organism-based format,True
CHEMBL1806713,N#C[Se]Cc1ccccc1[N+](=O)[O-],340.0,nM,IC50,6.47,Leishmania infantum,organism-based format,True
CHEMBL1806708,CN(C)c1ccc([Se]C#N)cc1,2790.0,nM,IC50,5.55,Leishmania infantum,organism-based format,True
CHEMBL1806719,N#C[Se]Cc1cccc(C#N)c1,530.0,nM,IC50,6.28,Leishmania infantum,organism-based format,True
CHEMBL1806799,O=[N+]([O-])c1ccccc1C[Se][Se]Cc1ccccc1[N+](=O)[O-],290.0,nM,IC50,6.54,Leishmania infantum,organism-based format,True
CHEMBL1806712,N#C[Se]Cc1cccc([N+](=O)[O-])c1,570.0,nM,IC50,6.24,Leishmania infantum,organism-based format,True
CHEMBL1806711,N#C[Se]Cc1ccc([N+](=O)[O-])cc1,680.0,nM,IC50,6.17,Leishmania infantum,organism-based format,True
CHEMBL1806720,N#C[Se]Cc1ccccc1C#N,3160.0,nM,IC50,5.50,Leishmania infantum,organism-based format,True
CHEMBL1939604,CC(=O)C1=NN(c2ccccc2)C2C3N(c4ccccc4)N=C(C(C)=O)N3c3ccccc3N12,32000.0,nM,IC50,4.50,Leishmania infantum,organism-based format,True
CHEMBL1939606,COC(=O)C1=NN(c2ccccc2)C2C3N(c4ccccc4)N=C(C(=O)OC)N3c3ccccc3N12,64000.0,nM,IC50,4.19,Leishmania infantum,organism-based format,True
CHEMBL1939608,C1=NN(c2ccccc2)C2C3N(C=NN3c3ccccc3)c3ccccc3N12,64000.0,nM,IC50,4.19,Leishmania infantum,organism-based format,True
CHEMBL1939610,COC(=O)C1=NN(c2ccccc2)C2=CNc3c(C)cccc3N21,64000.0,nM,IC50,4.19,Leishmania infantum,organism-based format,True
CHEMBL1939611,COC(=O)C1=NN(c2ccccc2)[C@@H]2N1c1ccccc1N1C(C(=O)OC)=NN(c3ccccc3)[C@@]21C,64000.0,nM,IC50,4.19,Leishmania infantum,organism-based format,True
CHEMBL1939613,CC(=O)C1=NN(c2ccccc2)[C@@H]2N1c1ccccc1N1C(C(C)=O)=NN(c3ccccc3)[C@@]21C,24050.0,nM,IC50,4.62,Leishmania infantum,organism-based format,True
CHEMBL1939733,C1=C(c2ccccc2)NC2=NC=C3N(c4ccccc4)N=C(c4ccccc4)N3C12,64000.0,nM,IC50,4.19,Leishmania infantum,organism-based format,True
CHEMBL1939734,COC(=O)C1=NN(c2ccccc2)C2=CN=C3NC(c4ccccc4)=CC3N21,64000.0,nM,IC50,4.19,Leishmania infantum,organism-based format,True
CHEMBL537087,CCN(CC)CCn1c(=N)n(CC(O)c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,1000.0,nM,IC50,6.00,Leishmania infantum,organism-based format,True
CHEMBL601041,CCOc1ccc(Nc2c3ccccc3nc3ccccc23)cc1.Cl,1587.4,nM,IC50,5.80,Leishmania infantum,organism-based format,True
CHEMBL589723,Cc1ccc2nc(C)cc(Nc3cccc(C(F)(F)F)c3)c2c1.Cl,3063.93,nM,IC50,5.51,Leishmania infantum,organism-based format,True
CHEMBL591395,O=C(O)C(=O)O.Oc1ccc(Br)cc1CN1CCN(Cc2cccc(F)c2)CC1,25398.42,nM,IC50,4.59,Leishmania infantum,organism-based format,True
CHEMBL602234,CCCCCn1c(=N)n(CC(O)COc2cccc(C)c2)c2ccccc21.Cl,3408.72,nM,IC50,5.47,Leishmania infantum,organism-based format,True
CHEMBL590933,CCCCCCn1c(=N)n(CC(O)COc2cccc(C)c2)c2ccccc21.Cl,2540.0,nM,IC50,5.59,Leishmania infantum,organism-based format,True
CHEMBL124006,CN(C)CCCNc1c2ccccc2nc2ccccc12,1014.25,nM,IC50,5.99,Leishmania infantum,organism-based format,True
CHEMBL590201,CCOc1cc2c(cc1OCC)C(c1cc(Cl)c(O)c(OCC)c1)NCC2,17280.96,nM,IC50,4.76,Leishmania infantum,organism-based format,True
CHEMBL589205,CCOc1cc2c(cc1OCC)C(c1cc(C)c(O)c(C)c1)NCC2.Cl,17280.96,nM,IC50,4.76,Leishmania infantum,organism-based format,True
CHEMBL590686,CCN(CC)c1cc(C)c2cc(NC(=O)c3cccc(OC)c3)ccc2n1,16227.94,nM,IC50,4.79,Leishmania infantum,organism-based format,True
CHEMBL601580,COc1ccc(C2Sc3ccccc3N=C3C2=C(O)c2ccccc23)cc1,4756.83,nM,IC50,5.32,Leishmania infantum,organism-based format,True
CHEMBL590674,CCc1ccc(Nc2cc(C)c3ccc(O)cc3n2)cc1.Cl,4320.24,nM,IC50,5.36,Leishmania infantum,organism-based format,True
CHEMBL591623,COc1ccc(-c2cc(=O)oc3c4c(ccc23)OCN(Cc2ccc(F)cc2)C4)cc1,5383.6,nM,IC50,5.27,Leishmania infantum,organism-based format,True
CHEMBL590914,COc1ccc(C(O)(CCC(C)C)C(CN2CCOCC2)c2ccc(Cl)cc2)cc1.Cl,4756.83,nM,IC50,5.32,Leishmania infantum,organism-based format,True
CHEMBL592808,CCCCC(O)(c1ccc(Cl)cc1)C(CN1CCOCC1)c1ccc(Cl)cc1.Cl,10159.99,nM,IC50,4.99,Leishmania infantum,organism-based format,True
CHEMBL601743,CCCCCCC(O)(c1ccc(F)cc1)C(CN1CCOCC1)c1ccccc1.Cl,4320.24,nM,IC50,5.36,Leishmania infantum,organism-based format,True
CHEMBL602946,CC1CCCCN1CCCNC(=O)c1ccc2c(c1)sc1nc(-c3ccc(F)cc3)cn12,1080.06,nM,IC50,5.97,Leishmania infantum,organism-based format,True
CHEMBL547266,Cc1ccnc(NC(c2cccc(OCc3ccccc3)c2)c2ccc3cccnc3c2O)c1,4056.99,nM,IC50,5.39,Leishmania infantum,organism-based format,True
CHEMBL592123,CCCOCc1cc(CN2CCN(c3cccc(Cl)c3)CC2)c(O)c2ncccc12,1587.4,nM,IC50,5.80,Leishmania infantum,organism-based format,True
CHEMBL591183,CC(C)OCc1cc(CN2CCN(c3cccc(Cl)c3)CC2)c(O)c2ncccc12,1189.21,nM,IC50,5.92,Leishmania infantum,organism-based format,True
CHEMBL600374,Cl.OC(CNCc1ccccc1)Cn1c2ccccc2c2ccccc21,4000.0,nM,IC50,5.40,Leishmania infantum,organism-based format,True
CHEMBL590212,OC(CNC1CCCC1)Cn1c2ccccc2c2ccccc21,5383.6,nM,IC50,5.27,Leishmania infantum,organism-based format,True
CHEMBL598279,COc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1,1007.03,nM,IC50,6.00,Leishmania infantum,organism-based format,True
CHEMBL609036,CN1CCN(c2nc(Nc3ccc(O)cc3)nc3ccccc23)CC1.Cl,13634.89,nM,IC50,4.87,Leishmania infantum,organism-based format,True
CHEMBL602413,Cc1ccc(Nc2nc(NCCO)c3ccccc3n2)cc1C,2519.84,nM,IC50,5.60,Leishmania infantum,organism-based format,True
CHEMBL581860,OCCNc1nc(Nc2ccc(Cl)c(Cl)c2)nc2ccccc12,3006.81,nM,IC50,5.52,Leishmania infantum,organism-based format,True
CHEMBL589946,CC(C)c1ccc(CNCC(O)c2ccccc2)cc1.Cl,10159.99,nM,IC50,4.99,Leishmania infantum,organism-based format,True
CHEMBL589920,CCOc1cccc2sc(N(Cc3cccnc3)C(=O)C3CCCCC3)nc12,19027.31,nM,IC50,4.72,Leishmania infantum,organism-based format,True
CHEMBL591637,CSc1ccccc1C(=O)Nc1nc(-c2ccccn2)cs1,336.48,nM,IC50,6.47,Leishmania infantum,organism-based format,True
