molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type,pchembl_value,target_pref_name,bao_label,passes_lipinski
CHEMBL188061,CC(C)=CCc1cc(O)c2c(=O)c3cccc(O)c3oc2c1O,27000.0,nM,IC50,4.57,Leishmania infantum,organism-based format,True
CHEMBL482023,CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c2c(=O)c3cccc(O)c3oc12,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL55,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,10.0,ug.mL-1,IC50,,Leishmania infantum,organism-based format,True
CHEMBL452171,O=c1c2ccccc2cc2n1CCN2,20.7,ug.mL-1,IC50,,Leishmania infantum,organism-based format,True
CHEMBL511177,O=c1c2ccccc2c(C(=S)Nc2ccc(Cl)cc2)c2n1CCN2,22.7,ug.mL-1,IC50,,Leishmania infantum,organism-based format,True
CHEMBL511521,O=C(Nc1ccccc1)c1c2n(c(=O)c3ccccc13)CCN2,19.5,ug.mL-1,IC50,,Leishmania infantum,organism-based format,True
CHEMBL512835,O=c1c2ccccc2c(C(=S)Nc2ccccc2)c2[nH]c3ccccc3n12,19.5,ug.mL-1,IC50,,Leishmania infantum,organism-based format,True
CHEMBL594199,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3[nH]ncc3c2)cc1,14500.0,nM,IC50,4.84,Leishmania infantum,organism-based format,True
CHEMBL610753,Cc1cc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)no1,126000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL593264,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ncccn2)cc1,100000.0,nM,IC50,4.00,Leishmania infantum,organism-based format,True
CHEMBL594928,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2cnccn2)cc1,66200.0,nM,IC50,4.18,Leishmania infantum,organism-based format,True
CHEMBL594925,Cc1cc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)n[nH]1,164000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL596294,CCCNC(=O)CNc1ccc([N+](=O)[O-])cc1,156000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL594927,Cc1cc(C)nc(NS(=O)(=O)c2ccc(Cl)cc2)n1,224000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL595376,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc3c(c2)CCC3)cc1,1000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL609309,O=[N+]([O-])c1ccccc1S(=O)(=O)Nc1ncccn1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL608694,O=S(=O)(Nc1ncccn1)c1ccccc1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL608397,COc1ccc(S(=O)(=O)Nc2ncccn2)cc1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL607825,Cc1cc(C)nc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)n1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL594437,O=S(=O)(Nc1cnccn1)c1ccc(Cl)cc1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL596295,O=S(=O)(Nc1cnccn1)c1ccccc1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL609604,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccncc2)cc1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL594593,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2cccnc2)cc1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL594811,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccccn2)cc1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL593262,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2nccs2)cc1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL607805,O=S(=O)(Nc1nccs1)c1ccc(Cl)cc1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL593263,Cc1cnc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)s1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL594832,Cc1cnc(NS(=O)(=O)c2ccc(Cl)cc2)s1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL596280,Cc1cnc(NS(=O)(=O)c2ccccc2)s1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL596281,Cc1csc(NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)n1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL594684,Cc1cc(NS(=O)(=O)c2ccc(Cl)cc2)no1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL608998,Cc1cc(NS(=O)(=O)c2ccccc2)no1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL594438,O=S(=O)(Nc1ccc2c(c1)CCC2)c1ccc(Cl)cc1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL593750,O=S(=O)(Nc1ccc2c(c1)CCC2)c1ccccc1,256000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL31970,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL600260,CCN(CCO)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL591293,CCCN(CCO)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL591908,CCCCN(CCO)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL601506,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Nc1ccc(O)cc1,2200.0,nM,IC50,5.66,Leishmania infantum,organism-based format,True
CHEMBL589099,CN(C)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL591757,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1N1CCOCC1,100000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1089374,N#C[C@H](CCCNC(=N)N)NC(=O)OCc1ccccc1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1089375,N#C[C@H](Cc1ccc(N)cc1)NC(=O)OCc1ccccc1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1089376,N#C[C@H](Cc1ccc(NC(=N)N)cc1)NC(=O)OCc1ccccc1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1089377,N#CCN(C(=O)OCc1ccccc1)C1CCNCC1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1091088,N#CCN(CCCCO)C(=O)OCc1ccccc1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1091471,N#CCN(CCCCN1CCCC1)C(=O)OCc1ccccc1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1091472,N#CCN(CCCCn1ccnc1)C(=O)OCc1ccccc1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1091473,N#CCN(CCCCN1CCCCC1)C(=O)OCc1ccccc1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1094051,N#CCN(CCCCN1CCN(c2ccc(F)cc2)CC1)C(=O)OCc1ccccc1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1077318,N=C(N)NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)c1nc2ccccc2s1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1080400,N=C(N)NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)c1ccccn1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1080401,N=C(N)NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)c1nccs1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1079694,Cn1c(C(=O)[C@H](CCCNC(=N)N)NC(=O)OCc2ccccc2)nc2ccccc21,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1081863,N=C(N)NCCC[C@@H](/C=C/S(=O)(=O)c1ccccc1)NC(=O)OCc1ccccc1,64000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1081864,NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)c1nc2ccccc2s1,22800.0,nM,IC50,4.64,Leishmania infantum,organism-based format,True
CHEMBL1081865,N=C(N)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)c1nc2ccccc2s1,45400.0,nM,IC50,4.34,Leishmania infantum,organism-based format,True
CHEMBL1213036,O=[N+]([O-])c1ccc2nc(Cl)sc2c1,48000.0,nM,IC50,4.32,Leishmania infantum,organism-based format,True
CHEMBL1213037,CN(C)c1ccc(Nc2nc3ccc([N+](=O)[O-])cc3s2)cc1,25000.0,nM,IC50,4.60,Leishmania infantum,organism-based format,True
CHEMBL1213038,O=[N+]([O-])c1ccc2nc(NCCO)sc2c1,104000.0,nM,IC50,,Leishmania infantum,organism-based format,True
CHEMBL1213039,COc1cc(NS(C)(=O)=O)ccc1Nc1nc2ccc([N+](=O)[O-])cc2s1,18000.0,nM,IC50,4.75,Leishmania infantum,organism-based format,True
CHEMBL1213040,O=[N+]([O-])c1ccc2nc(Nc3cccc(O)c3)sc2c1,15000.0,nM,IC50,4.82,Leishmania infantum,organism-based format,True
